Date,XLY,XLF,XLK,XLE,XLV,XLI,XLP,XLB,XLU,mr_wealth,mo_wealth,mr_wealth_cross,mo_wealth_cross
2012-05-04,41.247840999999994,8.507296,26.234265999999998,59.31514,33.689434000000006,32.222716999999996,29.240992,31.594040000000003,28.901609000000004,675828.7328347377,1291347.5532256493,1991765.697501687,672694.5134868857
2012-05-07,41.229465000000005,8.558003999999999,26.162067,59.141441,33.762367,32.133953000000005,29.283894,31.620597999999998,28.844735999999997,675828.7328347377,1290081.7588904307,1999669.2680465928,672694.5134868857
2012-05-08,40.733505,8.501663,26.071817000000003,58.950371,33.771481,32.054054,29.215246,31.470079,28.893488,675828.7328347377,1271887.8657031066,1995442.0392876165,672694.5134868857
2012-05-09,40.57737,8.405884,26.071817000000003,58.663810999999995,33.543541,31.681225,29.069384000000003,31.186721999999996,28.909737,675828.7328347377,1272776.9625005156,2025276.6629718589,672694.5134868857
2012-05-10,40.715140999999996,8.439689999999999,25.873281,58.915645999999995,33.780598,31.725610999999997,29.275303000000005,31.089312,29.177870000000002,675828.7328347377,1264056.777514521,2031891.6193574606,672694.5134868857
2012-05-11,40.632473,8.343910000000001,25.891333,58.481421999999995,33.744133000000005,31.663469,29.198079999999997,31.000760999999997,29.194118,675828.7328347377,1239887.3751583337,2036516.080762301,672694.5134868857
2012-05-14,40.063034,8.174892999999999,25.66572,57.508759,33.63472,31.29952,29.077963,30.575734999999998,29.161617,675828.7328347377,1214018.4620297295,2039837.2483268788,672694.5134868857
2012-05-15,39.998745,8.129823,25.593523,56.553470999999995,33.434132,31.139751,29.043652,30.11528,28.958486999999998,675828.7328347377,1201030.228417376,2062500.0402440997,672694.5134868857
2012-05-16,39.934459999999994,8.011510000000001,25.385956,56.23214,33.488838,31.104242,29.138027,29.787654999999997,28.999119,675828.7328347377,1171658.8872284798,2037024.6072476692,672694.5134868857
2012-05-17,38.878231,7.848122,25.024975,55.876072,33.178833000000004,30.43848,28.932106,29.132402000000003,28.836605,675828.7328347377,1166591.897940695,2034044.952341246,672694.5134868857
2012-05-18,38.584315999999994,7.757978,24.79034,55.528687,32.887081,30.287569,28.760503999999997,29.017290000000003,28.779728000000002,675828.7328347377,1213810.548477742,2026732.6108359112,672694.5134868857
2012-05-21,39.263973,7.831221,25.404010999999997,56.805321,33.206196000000006,30.962203999999996,28.872041999999997,29.867348,28.812233000000003,675828.7328347377,1207775.1510187816,2041647.8747206074,672694.5134868857
2012-05-22,39.420116,7.8931949999999995,25.322781,56.666363,33.115025,31.077599,28.906366,29.681403999999997,29.015365999999997,675828.7328347377,1227649.9955134331,2032600.0993549135,672694.5134868857
2012-05-23,39.631367,7.921365,25.349854999999998,56.874782999999994,32.969153999999996,31.246267,28.829141999999997,30.035593,28.860989,675828.7328347377,1227926.0728058664,2060432.1168284616,672694.5134868857
2012-05-24,39.815052,7.926999,25.205467000000002,56.831375,33.288253999999995,31.210765999999996,29.103711999999998,30.221544,28.974731,675828.7328347377,1214934.5125162536,2070132.8355375766,672694.5134868857
2012-05-25,39.750755,7.898828999999999,25.151320000000002,56.562153,33.206196000000006,30.997716999999998,29.077963,30.097571999999996,29.072239,675828.7328347377,1244111.4189592407,2070026.1564249,672694.5134868857
2012-05-29,40.301838000000004,8.011510000000001,25.48522,57.508759,33.315605,31.414909,29.283894,30.620015999999996,29.161617,675828.7328347377,1198663.2101874698,2078239.5842504094,672694.5134868857
2012-05-30,39.668098,7.825586,25.322781,55.745808,33.124138,30.891195,29.043652,30.071015999999997,28.982861,675828.7328347377,1185828.595002637,2082708.8277463713,672694.5134868857
2012-05-31,39.585442,7.8931949999999995,25.205467000000002,55.259476,32.960018,30.775790999999998,28.983584999999998,29.947041,29.137242999999998,675828.7328347377,1146137.6623003483,2065289.1054111454,672694.5134868857
2012-06-01,38.336338,7.600227,24.54668,53.878639,32.376499,29.923626000000002,28.451621999999997,29.309494,29.015365999999997,675828.7328347377,1132978.3604919035,2085385.2860502591,672694.5134868857
2012-06-04,38.474098,7.526986999999999,24.691067,53.83521999999999,32.449432,29.612932,28.546001,29.336065,29.112871000000002,675828.7328347377,1146119.2142572333,2073319.8040482174,672694.5134868857
2012-06-05,38.685345,7.650932000000001,24.844484,54.295502,32.631783,29.701704,28.511675,29.619419,29.218496000000002,675828.7328347377,1190781.7410619608,2082953.1678849305,672694.5134868857
2012-06-06,39.521149,7.876291999999999,25.413033,55.971596,33.142371999999995,30.491743,28.897783,30.363228000000003,29.624756,675828.7328347377,1194517.8434237768,2097459.738586423,672694.5134868857
2012-06-07,39.521149,7.870659,25.286682,56.006336,33.160599,30.660396999999996,29.000744,30.416349,29.852273999999998,675828.7328347377,1197281.1478219517,2111293.644733767,672694.5134868857
2012-06-08,39.870155,7.966435000000001,25.566442000000002,56.015021999999995,33.361195,30.891195,29.249565000000004,30.620015999999996,29.917267,675828.7328347377,1168536.3142110314,2122873.9781462075,672694.5134868857
