,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,datetime,cumulative_pnl_12m
439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-06,-62.41000000000059
440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-07,-62.41000000000059
441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-10,-62.41000000000059
442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-11,-62.41000000000059
443,-104.42,-101.39999999999996,0.0,0.0,103.32000000000014,0.0,80.25000000000003,125.2900000000002,-83.84000000000015,2014-11-12,-43.210000000000335
444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-13,-43.210000000000335
445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-14,-43.210000000000335
446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-17,-43.210000000000335
447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-18,-43.210000000000335
448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-19,-43.210000000000335
449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-20,-43.210000000000335
450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-21,-43.210000000000335
451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-24,-43.210000000000335
452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-25,-43.210000000000335
453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-26,-43.210000000000335
454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-28,-43.210000000000335
455,3.5700000000000363,79.68000000000019,0.0,0.0,29.749999999999947,0.0,8.399999999999864,21.000000000000085,-48.75,2014-12-01,50.439999999999785
456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-02,50.439999999999785
457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-03,50.439999999999785
458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-04,50.439999999999785
459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-05,50.439999999999785
460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-08,50.439999999999785
461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-09,50.439999999999785
462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-10,50.439999999999785
463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-11,50.439999999999785
464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-12,50.439999999999785
465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-15,50.439999999999785
466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-16,50.439999999999785
467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-17,50.439999999999785
468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-18,50.439999999999785
469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-19,50.439999999999785
470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-22,50.439999999999785
471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-23,50.439999999999785
472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-24,50.439999999999785
473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-26,50.439999999999785
474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-29,50.439999999999785
475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-30,50.439999999999785
476,-10.920000000000067,3.119999999999933,0.0,0.0,-0.9999999999999788,0.0,52.80000000000007,-6.3000000000000265,-21.69999999999996,2014-12-31,66.43999999999976
477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-02,66.43999999999976
478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-05,66.43999999999976
479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-06,66.43999999999976
480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-07,66.43999999999976
481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-08,66.43999999999976
482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-09,66.43999999999976
483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-12,66.43999999999976
484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-13,66.43999999999976
485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-14,66.43999999999976
486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-15,66.43999999999976
487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-16,66.43999999999976
488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-20,66.43999999999976
489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-21,66.43999999999976
490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-22,66.43999999999976
491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-23,66.43999999999976
492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-26,66.43999999999976
493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-27,66.43999999999976
494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-28,66.43999999999976
495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-29,66.43999999999976
496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-30,66.43999999999976
